seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770002,10,B,100,55,90,100,60,100,6,0,5,0,1,1,-1
770002,11,A,100,50,100,100,68,100,6,1,1,0,1,1,1
770002,11,B,100,68,100,100,50,100,6,1,0,1,1,1,-1
770002,12,A,100,50,80,100,68,90,3,1,3,1,1,1,1
770002,12,B,100,68,90,100,50,80,3,1,1,3,1,1,-1
770002,13,A,100,50,75,100,68,55,2,1,4,3,1,1,1
770002,13,B,100,68,55,100,50,75,2,1,3,4,1,1,-1
770002,14,A,100,10,90,75,68,75,1,1,0,3,1,1,1
770002,14,B,75,68,75,100,10,90,1,1,3,0,1,1,-1
770002,15,A,85,0,75,75,68,35,2,1,2,5,1,1,1
770002,15,B,75,68,35,85,0,75,2,1,5,2,1,1,-1
770002,16,A,85,0,50,75,68,30,3,1,4,1,1,1,1
770002,16,B,75,68,30,85,0,50,3,1,1,4,1,1,-1
770002,17,A,85,0,60,75,58,30,5,1,0,3,1,1,1
770002,17,B,75,58,30,85,0,60,5,1,3,0,1,1,-1
770002,18,A,100,15,60,90,73,30,5,1,1,4,1,1,1
770002,18,B,90,73,30,100,15,60,5,1,4,1,1,1,-1
770002,19,A,100,30,60,100,88,30,5,1,2,5,1,1,1
770002,19,B,100,88,30,100,30,60,5,1,5,2,1,1,-1
770002,20,A,100,30,40,100,88,40,4,1,4,1,1,1,1
770002,20,B,100,88,40,100,30,40,4,1,1,4,1,1,-1
770002,21,A,80,45,40,100,48,50,3,2,5,2,1,1,1
770002,21,B,100,48,50,80,45,40,3,2,2,5,1,1,-1
770002,22,A,80,5,50,75,38,60,2,2,1,3,1,1,1
770002,22,B,75,38,60,80,5,50,2,2,3,1,1,1,-1
770002,23,A,80,5,15,75,38,55,2,2,3,4,1,1,1
770002,23,B,75,38,55,80,5,15,2,2,4,3,1,1,-1
770002,24,A,80,5,0,75,38,60,2,2,5,0,1,1,1
770002,24,B,75,38,60,80,5,0,2,2,0,5,1,1,-1
770002,25,A,65,5,40,75,8,50,3,2,0,2,1,1,1
770002,25,B,75,8,50,65,5,40,3,2,2,0,1,1,-1
770002,26,A,65,5,20,90,23,30,2,2,2,3,0,1,1
770002,26,B,90,23,30,65,5,20,2,2,3,2,1,0,-1
770002,27,A,79,19,20,90,23,40,2,2,3,4,0,1,1
770002,27,B,90,23,40,79,19,20,2,2,4,3,1,0,-1
770002,28,A,64,19,20,90,23,35,1,2,4,0,0,1,1
770002,28,B,90,23,35,64,19,20,1,2,0,4,1,0,-1
770002,29,A,49,19,10,75,13,15,1,2,5,2,0,1,1
